url,title,page_type,primary_task,required_components,source_claims,publish_state,acceptance_criteria
/,"Shift at Midnight Demo Guide Hub","guide hub","Get oriented to the demo, co-op, inspection, and survival basics","Hero; Start Here checklist; 4 quick-action cards; Demo scope overview; Source confidence key","SAM-CLM-001; SAM-CLM-002; SAM-CLM-003; SAM-CLM-004; SAM-CLM-006",PUBLISHABLE,"Player-facing guide hub tone, no exact spoilers, no unsupported facts"
/release-date/,"Shift at Midnight Release Date Status","conflict tracker","Understand release-date conflict and current source status","Timeline; Current Verdict; Source Table; Last Checked","SAM-CLM-002; SAM-CLM-005",PARTIAL,"Labels conflicting dates and avoids claiming final date unless official source confirms"
/demo/,"Shift at Midnight Demo Guide","demo guide","Understand demo scope, what to practice, and what not to expect","At-a-Glance table; Demo vs Full Game comparison; What You Can Practice; Pre-Install Checklist","SAM-CLM-003",PUBLISHABLE,"No exact walkthrough solutions; workflow categories only"
/platforms/,"Shift at Midnight Platforms","platform decision guide","Choose the right platform version and understand confirmed capabilities","Platform Capability Table; Which Version to Watch; Xbox Notes; PS5 Signal Note","SAM-CLM-004; SAM-CLM-005",PARTIAL,"Clear Steam/Xbox/Game Pass/PS5 distinction; no unconfirmed claims"
/beginner-guide/,"Shift at Midnight First Shift Guide","spoiler-safe guide","Learn the store task loop, inspection basics, and danger response before playing","Shift Flow Board; Store Task Checklist; Inspection Basics (ID/computer/behavior); Danger Response; HOLD boundary","SAM-CLM-001; SAM-CLM-007; SAM-CLM-009",PUBLISHABLE,"Official workflow shape only; no exact tells, routes, or solutions"
/customer-checks/,"Shift at Midnight Customer Inspection Guide","inspection matrix","Understand the three inspection categories and how to record findings during demo","Inspection Matrix table; Suspicion Level Tracker (CSS visual); Demo Test Recording Template; HOLD boundary","SAM-CLM-001; SAM-CLM-007; SAM-CLM-009",PARTIAL,"Exact tells held; workflow shape and categories confirmed"
/co-op/,"Shift at Midnight Co-op Prep Guide","multiplayer guide","Prepare for 2-3 player online co-op with role split and voice planning","Co-op Status; 2-3 Player Role Planner; Proximity Chat Notes; Demo Test Checklist","SAM-CLM-003; SAM-CLM-004",PUBLISHABLE,"No specific strategy answers; preparation framework only"
/survival-phase/,"Shift at Midnight Survival Phase Basics","danger response guide","Understand the survival-phase response options from official sources","Trigger Boundary; Response Board (board up / set traps / hide); Unverified list; Links to related pages","SAM-CLM-001; SAM-CLM-007",PARTIAL,"No exact trap types, hiding spots, timing, or enemy routes"
/joes-diner-newsletter/,"Who Writes the Joe's Diner Newsletter in Shift at Midnight?","query-driven FAQ/status","Handle rising Joe's Diner newsletter query safely","Question Card; Source Status; HOLD Answer Panel; Related Links","SAM-CLM-006; SAM-CLM-008",PARTIAL,"Does not invent exact answer; clearly says source state"
/sources/,"Shift at Midnight Sources and Source Confidence","trust/source matrix","Show why the site claims what it claims","Official/Platform/Press/Video/Community Matrix; Asset Rights Summary; No-Screenshots Policy section","source-log.csv; asset-rights.csv",PUBLISHABLE,"Clearly separates official facts from leads; explains original visual approach"
/about/,"About Shift at Midnight Compass","trust","Explain site scope","Scope text; no affiliation disclaimer",,PUBLISHABLE,"Includes unofficial/fan guide status"
/editorial/,"Editorial Policy","trust","Explain source and HOLD rules","Evidence policy; correction policy",,PUBLISHABLE,"Matches project source rules"
/contact/,"Contact","trust","Provide contact route","Contact text",,PUBLISHABLE,"Simple compliance page"
/privacy/,"Privacy Policy","trust","Privacy compliance","Privacy text",,PUBLISHABLE,"No analytics/ad claims unless actually used"
