cluster,canonical_query,variants,search_intent,canonical_url,publish_state,notes
home,shift at midnight,"shift at midnight game; shift at midnight horror game; night shift game","Understand what the game is and whether the site has current status",/,PUBLISHABLE,"Homepage should include status board and source confidence"
release,when does shift at midnight come out,"shift at midnight release date; shift at midnight launch; shift at midnight coming soon","Check current release status and conflicting dates",/release-date/,PARTIAL,"Use release conflict tracker; no unsupported final date"
demo,shift at midnight demo,"shift at midnight multiplayer demo; shift at midnight Steam demo","Find whether a demo exists and what can safely be claimed",/demo/,PUBLISHABLE,"No demo walkthrough without hands-on"
platforms,shift at midnight platforms,"shift at midnight xbox; shift at midnight game pass; shift at midnight ps5; shift at midnight steam","Check platform availability and capabilities",/platforms/,PARTIAL,"PS5 is query signal only unless official source confirms"
beginner,shift at midnight beginner guide,"shift at midnight guide; shift at midnight how to play; shift at midnight tips","Get spoiler-safe starter guidance",/beginner-guide/,PARTIAL,"No exact tells/routes; explain confirmed loop and HOLD limits"
customer_checks,shift at midnight customer checks,"shift at midnight doppelganger; shift at midnight customer; shift at midnight fake customer","Understand the inspection workflow without spoiler answers",/customer-checks/,PARTIAL,"Use workflow cards; hold exact tells unless official/hands-on"
joes_diner,who writes the joe's diner newsletter,"shift at midnight joe's diner newsletter; joe's diner newsletter shift at midnight","Answer/source-track rising query safely",/joes-diner-newsletter/,PARTIAL,"Publish source-labeled status; do not invent exact answer"
sources,shift at midnight sources,"shift at midnight official sources; shift at midnight trailer; shift at midnight steam news","Verify sources and latest status",/sources/,PUBLISHABLE,"Source matrix and last checked"
trust,about contact privacy editorial,"shift at midnight compass about; privacy; editorial policy","Compliance and trust pages",/about/,PUBLISHABLE,"Also include /contact/, /privacy/, /editorial/"
rejected,shift at midnight walkthrough,"shift at midnight full walkthrough; shift at midnight secrets; shift at midnight ending","Spoiler walkthrough intent",,HOLD,"No public URL in v1"
rejected,shift at midnight best strategy,"shift at midnight best tips; shift at midnight best way to survive","Unverified optimization intent",,HOLD,"No best/tier pages before hands-on verification"
